logFC logCPM LR PValue significant
chr2L-231 2.16499235619861 0.13303355645882 3.77336934837526 0.0520746356951358 0
chr2L-372 1.96159994143847 0.184717337257508 3.50979561034876 0.0610069814639232 0
chr2L-5154 -1.05609686716798 -0.60165194657181 1.0696943115772 0.301014503776542 0
chr2L-5303 -0.21654390434333 2.10834829045388 0.0494724201118331 0.823983857819103 0
chr2L-6025 0.156556357086219 2.70615558922181 0.0285691319273695 0.86577771869855 0
chr2L-6881 -1.30803922024976 0.0911242478131104 2.33480619998509 0.126510734340822 0
chr2L-6923 0.63809650789833 0.405834004749528 0.42928676801478 0.512339127959721 0
chr2L-7694 -1.02819084359312 -0.382659187811589 1.33342341200303 0.248197101229987 0
chr2L-7717 0.451612211673727 1.99852432350645 0.243922980115428 0.621386979008105 0
chr2L-8553 -0.102357322746999 0.34248318688703 0.0165060597888921 0.897772360212445 0
chr2L-8797 0.715592401078994 1.58678026205556 0.702797130165556 0.401845411144121 0
chr2L-9803 1.84841041534781 0.346577660510431 4.18297163380667 0.0408320464799952 0
chr2L-12442 0.286075307176087 -0.726204392462467 0.10983195407023 0.740335534835438 0
chr2L-12715 -0.259873981313845 0.412351228916533 0.0644498808444318 0.799596138340041 0
chr2L-13067 -1.813680617722 -0.988799387502169 2.68524714014852 0.101281511089069 0
chr2L-14233 -0.0445045119721006 -0.554240521108632 0.00258593425621045 0.959443388997431 0
chr2L-15076 -0.343853832343641 -0.373686834409354 0.120361660561703 0.728642570089777 0
chr2L-15374 0.0962315749187687 -0.121370918527958 0.00822499905368534 0.927737501912195 0
chr2L-16094 -1.35995815793924 0.727178840261088 2.8070820855224 0.0938489350047793 0
chr2L-16176 -0.294789279867914 3.42183759762681 0.117499356408949 0.731762625440961 0
chr2L-16957 -0.348701406883951 3.16891074130058 0.11482604319562 0.734715261570767 0
chr2L-17450 -0.39302065021253 3.05252379491358 0.0690772561767403 0.792685061479691 0
chr2L-17586 -0.0788972933020726 5.48472122102415 0.00233731705912987 0.961440648466592 0
chr2L-18029 0.652830552392411 6.27130820969627 0.155913762793091 0.692946825445479 0
chr2L-18554 0.849896283868373 4.01385838523533 0.277407900891816 0.598405225142917 0
chr2L-18818 0.703430448810399 2.09105544513653 0.670244358919276 0.412966425376674 0
